id,name,slug,ratingAvg,likesCount,liked,datePublished,dateFeatured,firstPublish,downloadCount,category,modified,image,nsfw,premium,price,user,latestCompetitionResult,__typename
871465,ISO 7010 - Warning Signs,iso-7010-warning-signs,5.0000000000,2025,,2024-05-19T17:50:38.911360+00:00,,2024-05-07T07:33:24.738810+00:00,2963,"{'id': '16', 'path': [{'id': '13', 'name': 'Art & Design', '__typename': 'CategoryType'}, {'id': '16', 'name': '2D Plates & Logos', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-19T17:50:38.953534+00:00,"{'id': '3112100', 'filePath': 'media/prints/871465/images/6688423_1c4f9d5c-eec5-44d6-ac87-96369d067546_84b87e18-32af-4a96-bc89-b089f5f81fb0/warning-cover.png', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '1359853', 'publicUsername': 'Drunken Monkey', 'avatarFilePath': 'media/auth/39b80d92-e9d3-4db7-b273-4afeebb9fb1a.png', 'handle': 'DrunknMonkey_1359853', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 8, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
871461,ISO 7010 - Prohibition Signs,iso-7010-prohibition-signs,5.0000000000,1547,,2024-05-19T17:51:22.094687+00:00,,2024-05-07T07:32:26+00:00,1764,"{'id': '16', 'path': [{'id': '13', 'name': 'Art & Design', '__typename': 'CategoryType'}, {'id': '16', 'name': '2D Plates & Logos', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-19T17:51:22.118935+00:00,"{'id': '3112120', 'filePath': 'media/prints/871461/images/6688464_58ef3d1b-75c4-4da8-814f-2e7cdfc88a48_e45ff586-8334-43bd-9857-3f78c5ac7ab8/prohibition-cover.png', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '1359853', 'publicUsername': 'Drunken Monkey', 'avatarFilePath': 'media/auth/39b80d92-e9d3-4db7-b273-4afeebb9fb1a.png', 'handle': 'DrunknMonkey_1359853', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 8, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
870103,hydroponic tower for growing plants (WIP) (Updated 25.05.2024),hydroponic-tower-for-growing-plants-wip-updated-25,0E-10,936,,2024-05-25T11:31:31.587675+00:00,,2024-05-06T02:06:02.992699+00:00,770,"{'id': '41', 'path': [{'id': '13', 'name': 'Art & Design', '__typename': 'CategoryType'}, {'id': '41', 'name': 'Other Art & Designs', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-25T11:31:31.610686+00:00,"{'id': '3106759', 'filePath': 'media/prints/870103/images/6677712_dcff4838-d363-4a9d-abb9-ebf4b0673e9d_975e545e-1fde-42e6-9ac4-bb0550deaf4a/3.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '2052075', 'publicUsername': 'PV LM', 'avatarFilePath': 'media/auth/0dd14385-8a2d-43bd-b1fa-fe3504548cd9.png', 'handle': 'PVLM_2052075', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 8, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
874548,Amazing Gridfinity M3 Bolt Sorter,amazing-gridfinity-m3-bolt-sorter,4.8333333333,816,,2024-05-19T18:54:59.326059+00:00,,2024-05-09T21:14:01.214566+00:00,1108,"{'id': '50', 'path': [{'id': '48', 'name': 'Hobby & Makers', '__typename': 'CategoryType'}, {'id': '50', 'name': 'Organizers', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-19T18:54:59.349552+00:00,"{'id': '3121723', 'filePath': 'media/prints/874548/images/6709981_42cf7bb8-27cb-4fba-b74c-362deabb1272_88502b0b-59fe-41a0-a8da-d553c11b22cc/m3sorter_gridfinitiy.gif', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '3610', 'publicUsername': 'LayerLux3D', 'avatarFilePath': 'media/auth/avatars/89/89aed8f8-c2d7-4688-9e85-4183c189b936.png', 'handle': 'LayerLux3D', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 13, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
864950,Open source SpaceMouse - Space Mushroom remix,open-source-spacemouse-space-mushroom-remix,4.8333333333,2769,,2024-05-07T23:31:44.787615+00:00,,2024-05-03T02:16:58.002064+00:00,3259,"{'id': '27', 'path': [{'id': '21', 'name': 'Gadgets', '__typename': 'CategoryType'}, {'id': '27', 'name': 'Computers', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-07T23:31:45.370461+00:00,"{'id': '3114940', 'filePath': 'media/prints/864950/images/6695445_e5483376-8308-4e2d-a464-6d0c1bb523d7_cedb146e-7b38-41bc-a68d-79d1ba11ff75/thumb.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '253307', 'publicUsername': 'TeachingTech', 'avatarFilePath': 'media/auth/avatars/a8/a844e6db-52a0-4ed1-8156-8213fe945876.png', 'handle': 'TeachingTech', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 16, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
863424,OTF Fidget Knife - only 3 Parts,otf-fidget-knife-only-3-parts,4.5972850679,2999,,2024-05-21T06:38:40.681744+00:00,,2024-04-30T19:46:56.451078+00:00,14389,"{'id': '47', 'path': [{'id': '30', 'name': 'Toys & Games', '__typename': 'CategoryType'}, {'id': '47', 'name': 'Other Toys & Games', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-21T06:38:40.701670+00:00,"{'id': '3086172', 'filePath': 'media/prints/863424/images/6629887_f3c3ee94-6a8b-4a55-a70d-c2b5f86b6170_3347a727-eb57-4f51-8773-b917b5e4839f/dsc02714.jpeg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '548874', 'publicUsername': 'uhltimate', 'avatarFilePath': 'media/auth/avatars/26/2611cc25-b712-4360-b8b8-4e9817ea187b.jpeg', 'handle': 'uhltimate_548874', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 14, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
824381,Cable Duct Parametric,cable-duct-parametric,5.0000000000,886,,2024-05-08T15:21:30.703175+00:00,,2024-04-28T11:00:30.175089+00:00,895,"{'id': '50', 'path': [{'id': '48', 'name': 'Hobby & Makers', '__typename': 'CategoryType'}, {'id': '50', 'name': 'Organizers', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-08T15:21:30.729720+00:00,"{'id': '2966057', 'filePath': 'media/prints/824381/images/6361682_d642c289-ec4f-4f8d-8c81-b3c7c146f0a0_a9e6496a-c40d-4f85-a8fd-9f6ecce16f29/kabelkanal-cable-duct-thumbnail.png', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '248812', 'publicUsername': 'Leon_H', 'avatarFilePath': 'media/auth/avatars/c3/c3720b68-0724-4150-bdf7-1bd6a6959f56.jpg', 'handle': 'Leon_H', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 18, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
871317,Wildlife Kit Card - Multiple Species,wildlife-kit-card-multiple-species,5.0000000000,825,,2024-05-22T15:28:07.693481+00:00,,2024-05-07T01:08:02.906131+00:00,1864,"{'id': '61', 'path': [{'id': '58', 'name': 'World & Scans', '__typename': 'CategoryType'}, {'id': '61', 'name': 'Animals', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-22T15:28:07.723229+00:00,"{'id': '3111685', 'filePath': 'media/prints/871317/images/6687510_1d0f6505-71e8-47b5-abc5-cfb8a2313754_70b82994-b4ef-4df1-ae08-54f219b87914/top-down.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '1590966', 'publicUsername': 'designs.by.Marcum', 'avatarFilePath': 'media/auth/3e7b29c9-541b-41c0-9561-9085e3212314.png', 'handle': 'dbMarcum_1590966', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 9, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
867332,Counter Cleaner,counter-cleaner,4.7500000000,1016,,2024-05-03T22:26:12.074513+00:00,,2024-05-03T22:18:22.860141+00:00,1846,"{'id': '4', 'path': [{'id': '3', 'name': 'Household', '__typename': 'CategoryType'}, {'id': '4', 'name': 'Kitchen', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-03T22:26:12.089967+00:00,"{'id': '3098012', 'filePath': 'media/prints/867332/images/6658169_7d5c3fc8-4ff7-4beb-9256-0fda490c63b1_142daa8f-15c9-417d-9fb3-679992ec47b0/2024-02-16_9f99a140b7cf2.webp', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '362686', 'publicUsername': 'Cookiedeluxe', 'avatarFilePath': 'media/auth/avatars/b7/b73d6230-e4df-49c6-aa3a-7f380a6673d4.jpg', 'handle': 'Cookiedeluxe_362686', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 15, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
869092,Zip Tie,zip-tie,4.3333333333,637,,2024-05-05T12:40:23.805163+00:00,,2024-05-05T12:40:23.800554+00:00,935,"{'id': '49', 'path': [{'id': '48', 'name': 'Hobby & Makers', '__typename': 'CategoryType'}, {'id': '49', 'name': 'Tools', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-05T12:40:23.826157+00:00,"{'id': '3103658', 'filePath': 'media/prints/869092/images/6670659_5c461395-ad14-4396-8723-2df11ec47368_7697eb43-29f8-44ef-96cf-6840d09e3112/uvodni.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '1769201', 'publicUsername': 'Jan Å tech', 'avatarFilePath': 'media/auth/avatars/fa/facf8864-11d3-4dfd-9abb-504fc5a596af.jpeg', 'handle': 'JanStech', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 19, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
871466,ISO 7010 - Mandatory Signs,iso-7010-mandatory-signs,0E-10,730,,2024-05-19T17:51:56.466660+00:00,,2024-05-07T07:33:11+00:00,852,"{'id': '16', 'path': [{'id': '13', 'name': 'Art & Design', '__typename': 'CategoryType'}, {'id': '16', 'name': '2D Plates & Logos', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-19T17:51:56.489888+00:00,"{'id': '3112102', 'filePath': 'media/prints/871466/images/6688438_ba21c469-b0e5-4ae4-a545-21888d1d7ae5_6ca805f9-b853-4a96-a6c5-b6b717602b63/mandatory-cover.png', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '1359853', 'publicUsername': 'Drunken Monkey', 'avatarFilePath': 'media/auth/39b80d92-e9d3-4db7-b273-4afeebb9fb1a.png', 'handle': 'DrunknMonkey_1359853', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 8, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
860058,"7 Segment Mechanical Counter, Version 2.1, Ratchet, With 3D Printed Screws",7-segment-mechanical-counter-version-21-ratchet-wi,4.6800000000,3396,,2024-05-24T01:46:23.223656+00:00,,2024-04-28T15:32:57.800415+00:00,7786,"{'id': '82', 'path': [{'id': '48', 'name': 'Hobby & Makers', '__typename': 'CategoryType'}, {'id': '82', 'name': 'Other Ideas', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-24T01:46:23.239393+00:00,"{'id': '3077576', 'filePath': 'media/prints/860058/images/6611866_3b69230b-5a6a-4473-b10c-df5ec117c6e5_a18d1ab1-d017-4b76-b168-5482e3b5afdf/02.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '1945812', 'publicUsername': 'Flower-3D', 'avatarFilePath': 'media/auth/avatars/c1/c10897d8-c61a-47ff-a684-f6a96080c082.png', 'handle': 'Flower3D_1945812', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 7, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
871988,Plastic Buckle (Designed for 3d printing with zero supports),plastic-buckle-designed-for-3d-printing-with-zero,4.8333333333,619,,2024-05-09T14:17:36.094308+00:00,,2024-05-07T17:36:00.494979+00:00,1070,"{'id': '43', 'path': [{'id': '21', 'name': 'Gadgets', '__typename': 'CategoryType'}, {'id': '43', 'name': 'Other Gadgets', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-09T14:17:36.115096+00:00,"{'id': '3113824', 'filePath': 'media/prints/871988/images/6692784_2d0e893f-cc9c-40fd-9f4c-9fd48c7176ef_f4804278-e9ad-4636-9033-16a83bad97d2/screenshot-2024-05-07-193219.png', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '192802', 'publicUsername': 'ICant3DPrint', 'avatarFilePath': 'media/auth/avatars/27/27f348af-4aad-4b7b-a337-6334dbd20147.jpg', 'handle': 'ICant3DPrint', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 15, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
880256,Cardboard Gridfinity Bins,cardboard-gridfinity-bins,5.0000000000,620,,2024-05-22T09:18:19.941288+00:00,,2024-05-16T13:16:28.671010+00:00,354,"{'id': '50', 'path': [{'id': '48', 'name': 'Hobby & Makers', '__typename': 'CategoryType'}, {'id': '50', 'name': 'Organizers', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-22T09:18:19.961001+00:00,"{'id': '3143214', 'filePath': 'media/prints/880256/images/6757561_dd1af990-f499-4e47-b120-b3415e96ffb8_cdc1d1a1-4913-4036-84ae-f6d2bcb94a86/pxl_20240513_214409712portrait.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '2077995', 'publicUsername': 'Daviel Black', 'avatarFilePath': 'media/auth/c46eb820-9fda-43e7-88c6-3e7c59b8621c.png', 'handle': 'DavielBlack_2077995', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 4, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
876789,Dummy13 K9 Parametric,dummy13-k9-parametric,5.0000000000,526,,2024-05-15T03:02:10.064122+00:00,,2024-05-12T00:54:45.481497+00:00,1053,"{'id': '47', 'path': [{'id': '30', 'name': 'Toys & Games', '__typename': 'CategoryType'}, {'id': '47', 'name': 'Other Toys & Games', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-15T03:02:10.122562+00:00,"{'id': '3128768', 'filePath': 'media/prints/876789/images/6725184_73894366-154e-43b0-941b-715b140d4ada_f4583f77-3281-4578-8371-d2bbe1997905/20240511_183204.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '293546', 'publicUsername': 'Depep1', 'avatarFilePath': 'media/auth/avatars/64/647b8796-a16b-4be2-9dbc-402007c73f33.jpg', 'handle': 'Depep1', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 20, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
864339,Box with sliding door,box-with-sliding-door,4.8888888889,1278,,2024-05-11T05:44:49.997468+00:00,,2024-05-01T14:11:14.686572+00:00,2627,"{'id': '40', 'path': [{'id': '1', 'name': '3D Printers', '__typename': 'CategoryType'}, {'id': '40', 'name': 'Accessories', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-11T05:44:50.014847+00:00,"{'id': '3088994', 'filePath': 'media/prints/864339/images/6636474_a0ba9d75-5ae7-45fc-853c-fe8867bc1a6a_caa4cbd6-eae6-4109-a1bf-4c151eb45c04/img_1296x.jpeg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '107678', 'publicUsername': 'esox', 'avatarFilePath': 'media/auth/avatars/6e/6efcd599-5f3a-4a34-be7c-c0611510c0c1.png', 'handle': 'esox', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 20, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
873904,Tick removal tool,tick-removal-tool,4.8000000000,720,,2024-05-22T05:01:18.879013+00:00,,2024-05-09T11:39:48.372792+00:00,1357,"{'id': '88', 'path': [{'id': '87', 'name': 'Healthcare', '__typename': 'CategoryType'}, {'id': '88', 'name': 'Home Medical Tools', '__typename': 'CategoryType'}], '__typename': 'CategoryType'}",2024-05-22T05:01:18.897581+00:00,"{'id': '3119209', 'filePath': 'media/prints/873904/images/6704908_85e8624c-ab62-4a9a-ab12-ff595c2459dc_3085989c-1861-4acf-925f-87a2d8eb6b2a/capture-decran-2024-05-09-132916.jpg', 'rotation': 0, '__typename': 'PrintImageType'}",False,False,,"{'id': '398553', 'publicUsername': 'Juli3n', 'avatarFilePath': 'media/auth/avatars/bf/bf522f93-4513-4774-96e0-46229d6f71c1.jpg', 'handle': 'Juli3n_398553', 'company': False, 'verified': False, 'badgesProfileLevel': {'profileLevel': 12, '__typename': 'BadgesProfileLevelType'}, '__typename': 'UserType'}",,PrintType
