address,coordinates,link,Sewer,Electric,Gas
"113 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.77417, 'longitude': -80.25654}",https://www.zillow.com//homedetails/113-S-Avondale-Rd-Lexington-NC-27292/5712923_zpid/,Public Sewer,-,-
"840 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.783806, 'longitude': -80.220535}",https://www.zillow.com//homedetails/840-Becks-Church-Rd-Lexington-NC-27292/53146912_zpid/,Septic Tank,-,-
"1043 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.786713, 'longitude': -80.27268}",https://www.zillow.com//homedetails/1043-Old-Linwood-Rd-Lexington-NC-27292/5729293_zpid/,Public Sewer,-,-
"207 Arbor Dr, Lexington, NC 27292","{'latitude': 35.794304, 'longitude': -80.225945}",https://www.zillow.com//homedetails/207-Arbor-Dr-Lexington-NC-27292/5711692_zpid/,Septic Tank,-,-
"185 Acacia Cir, Lexington, NC","{'latitude': 35.79044, 'longitude': -80.23838}","https://www.zillow.com//b/building/35.79044,-80.23838_ll/",-,-,-
"367 Albert Dr, Lexington, NC 27292","{'latitude': 35.763073, 'longitude': -80.26843}",https://www.zillow.com//homedetails/367-Albert-Dr-Lexington-NC-27292/5713234_zpid/,Septic Tank,-,-
"608 Cardinal Dr, Lexington, NC 27292","{'latitude': 35.7931, 'longitude': -80.231606}",https://www.zillow.com//homedetails/608-Cardinal-Dr-Lexington-NC-27292/53137088_zpid/,Septic Tank,-,-
"1059 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.7864, 'longitude': -80.2724}",https://www.zillow.com//homedetails/1059-Old-Linwood-Rd-Lexington-NC-27292/5729294_zpid/,-,-,-
"106 Trafalgar Dr, Lexington, NC 27292","{'latitude': 35.788494, 'longitude': -80.244545}",https://www.zillow.com//homedetails/106-Trafalgar-Dr-Lexington-NC-27292/53142172_zpid/,-,-,-
"106 Trafalgar Dr #4, Lexington, NC 27292","{'latitude': 35.788445, 'longitude': -80.24449}",https://www.zillow.com//homedetails/106-Trafalgar-Dr-4-Lexington-NC-27292/2058875135_zpid/,Public Sewer,Lexington City,Type: Natural Gas
"122 Adam Ct, Lexington, NC 27292","{'latitude': 35.78466, 'longitude': -80.27988}",https://www.zillow.com//homedetails/122-Adam-Ct-Lexington-NC-27292/53144517_zpid/,Public Sewer,-,-
"490 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.769554, 'longitude': -80.26542}",https://www.zillow.com//homedetails/490-Bill-Lohr-Rd-Lexington-NC-27292/197536211_zpid/,-,-,-
"7 Glendale Rd, Lexington, NC 27292","{'latitude': 35.773323, 'longitude': -80.258385}",https://www.zillow.com//homedetails/7-Glendale-Rd-Lexington-NC-27292/5712867_zpid/,-,-,-
"285 Brown St, Lexington, NC 27292","{'latitude': 35.783253, 'longitude': -80.263565}",https://www.zillow.com//homedetails/285-Brown-St-Lexington-NC-27292/53144533_zpid/,Public Sewer,-,-
"112 Highgate Ln, Lexington, NC 27292","{'latitude': 35.793335, 'longitude': -80.251144}",https://www.zillow.com//homedetails/112-Highgate-Ln-Lexington-NC-27292/5728567_zpid/,-,-,-
"112 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774834, 'longitude': -80.25669}",https://www.zillow.com//homedetails/112-S-Avondale-Rd-Lexington-NC-27292/5712926_zpid/,Public Sewer,-,-
"116 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.77473, 'longitude': -80.25604}",https://www.zillow.com//homedetails/116-S-Avondale-Rd-Lexington-NC-27292/5712927_zpid/,Public Sewer,-,-
"106 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774845, 'longitude': -80.25737}",https://www.zillow.com//homedetails/106-S-Avondale-Rd-Lexington-NC-27292/245665278_zpid/,Public Sewer,-,-
"114 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774834, 'longitude': -80.25644}",https://www.zillow.com//homedetails/114-S-Avondale-Rd-Lexington-NC-27292/2067917910_zpid/,Public Sewer,-,-
"108 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774864, 'longitude': -80.25714}",https://www.zillow.com//homedetails/108-S-Avondale-Rd-Lexington-NC-27292/2091504681_zpid/,Public Sewer,-,-
"110 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.774826, 'longitude': -80.256874}",https://www.zillow.com//homedetails/110-S-Avondale-Rd-Lexington-NC-27292/2092475644_zpid/,Public Sewer,-,-
"404 Pete Fritts Rd, Lexington, NC 27292","{'latitude': 35.78592, 'longitude': -80.2248}",https://www.zillow.com//homedetails/404-Pete-Fritts-Rd-Lexington-NC-27292/84112938_zpid/,Septic Tank,-,-
"1204 Fairview Dr, Lexington, NC 27292","{'latitude': 35.794186, 'longitude': -80.254105}",https://www.zillow.com//homedetails/1204-Fairview-Dr-Lexington-NC-27292/53144095_zpid/,Public Sewer,-,-
"346 Pete Fritts Rd, Lexington, NC 27292","{'latitude': 35.78568, 'longitude': -80.22209}",https://www.zillow.com//homedetails/346-Pete-Fritts-Rd-Lexington-NC-27292/5734406_zpid/,Septic Tank,-,-
"450 Owens Rd, Lexington, NC 27292","{'latitude': 35.76564, 'longitude': -80.26983}",https://www.zillow.com//homedetails/450-Owens-Rd-Lexington-NC-27292/53137633_zpid/,-,-,-
"450 Owens Rd #9B, Lexington, NC 27292","{'latitude': 35.76588, 'longitude': -80.269646}",https://www.zillow.com//homedetails/450-Owens-Rd-9B-Lexington-NC-27292/2060860255_zpid/,-,-,-
"Owens Rd, Lexington, NC 27292","{'latitude': 35.76477, 'longitude': -80.26566}",https://www.zillow.com//homedetails/Owens-Rd-Lexington-NC-27292/53137632_zpid/,-,-,-
"0 Owens Rd, Lexington, NC 27292","{'latitude': 35.766006, 'longitude': -80.27275}",https://www.zillow.com//homedetails/0-Owens-Rd-Lexington-NC-27292/2065845405_zpid/,-,-,-
"28 Edna St, Lexington, NC 27292","{'latitude': 35.791817, 'longitude': -80.26346}",https://www.zillow.com//homedetails/28-Edna-St-Lexington-NC-27292/5728804_zpid/,Public Sewer,-,-
"406 Rogers Rd, Lexington, NC 27292","{'latitude': 35.7645, 'longitude': -80.24648}",https://www.zillow.com//homedetails/406-Rogers-Rd-Lexington-NC-27292/5713300_zpid/,Septic Tank,-,-
"200 Acacia Cir, Lexington, NC 27292","{'latitude': 35.79066, 'longitude': -80.237755}",https://www.zillow.com//homedetails/200-Acacia-Cir-Lexington-NC-27292/2061129722_zpid/,Public Sewer,-,-
"570 Brown St, Lexington, NC 27292","{'latitude': 35.78427, 'longitude': -80.26865}",https://www.zillow.com//homedetails/570-Brown-St-Lexington-NC-27292/5729384_zpid/,-,-,-
"210 Acacia Cir, Lexington, NC 27295","{'latitude': 35.790527, 'longitude': -80.23905}",https://www.zillow.com//homedetails/210-Acacia-Cir-Lexington-NC-27295/347667090_zpid/,Septic Tank,-,-
"1130 Fairview Dr, Lexington, NC 27292","{'latitude': 35.79537, 'longitude': -80.25447}",https://www.zillow.com//homedetails/1130-Fairview-Dr-Lexington-NC-27292/5728415_zpid/,Septic Tank,-,-
"201 Cedar Lane Dr, Lexington, NC 27292","{'latitude': 35.77776, 'longitude': -80.26424}",https://www.zillow.com//homedetails/201-Cedar-Lane-Dr-Lexington-NC-27292/2061755528_zpid/,Public Sewer,-,-
"465 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.7687, 'longitude': -80.264984}",https://www.zillow.com//homedetails/465-Bill-Lohr-Rd-Lexington-NC-27292/197536193_zpid/,-,-,-
"1271 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.77759, 'longitude': -80.220474}",https://www.zillow.com//homedetails/1271-Becks-Church-Rd-Lexington-NC-27292/5734798_zpid/,Septic Tank,-,-
"1271 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.77698, 'longitude': -80.220566}",https://www.zillow.com//homedetails/1271-Becks-Church-Rd-Lexington-NC-27292/70932756_zpid/,-,-,-
"1905 Southview Rd, Lexington, NC 27292","{'latitude': 35.772976, 'longitude': -80.25837}",https://www.zillow.com//homedetails/1905-Southview-Rd-Lexington-NC-27292/5712866_zpid/,-,-,-
"272 Montclair Dr, Lexington, NC 27292","{'latitude': 35.794556, 'longitude': -80.27331}",https://www.zillow.com//homedetails/272-Montclair-Dr-Lexington-NC-27292/5728856_zpid/,Public Sewer,-,-
"1502 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.782986, 'longitude': -80.25967}",https://www.zillow.com//homedetails/1502-Cotton-Grove-Rd-Lexington-NC-27292/354160128_zpid/,-,-,-
"382 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.769684, 'longitude': -80.263374}",https://www.zillow.com//homedetails/382-Bill-Lohr-Rd-Lexington-NC-27292/197536215_zpid/,-,-,-
"1105 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.785786, 'longitude': -80.27263}",https://www.zillow.com//homedetails/1105-Old-Linwood-Rd-Lexington-NC-27292/5729298_zpid/,Public Sewer,-,-
"125 Magnolia Rd, Lexington, NC 27292","{'latitude': 35.790108, 'longitude': -80.2454}",https://www.zillow.com//homedetails/125-Magnolia-Rd-Lexington-NC-27292/53144135_zpid/,Public Sewer,-,-
"109 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79385, 'longitude': -80.25195}",https://www.zillow.com//homedetails/109-Highgate-Ln-Lexington-NC-27292/5728565_zpid/,Public Sewer,-,-
"221 Brown St, Lexington, NC 27292","{'latitude': 35.78305, 'longitude': -80.262634}",https://www.zillow.com//homedetails/221-Brown-St-Lexington-NC-27292/83060795_zpid/,Public Sewer,-,-
"110 Arthur Murph Dr, Lexington, NC 27292","{'latitude': 35.782623, 'longitude': -80.265396}",https://www.zillow.com//homedetails/110-Arthur-Murph-Dr-Lexington-NC-27292/245666299_zpid/,Public Sewer,-,-
"990 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78767, 'longitude': -80.27363}",https://www.zillow.com//homedetails/990-Old-Linwood-Rd-Lexington-NC-27292/306258959_zpid/,-,-,-
"990 Old Linwood Rd #122, Lexington, NC 27292","{'latitude': 35.78767, 'longitude': -80.27362}",https://www.zillow.com//homedetails/990-Old-Linwood-Rd-122-Lexington-NC-27292/2062209913_zpid/,Public Sewer,-,-
"188 Quail Ridge Dr, Lexington, NC 27292","{'latitude': 35.78059, 'longitude': -80.27422}",https://www.zillow.com//homedetails/188-Quail-Ridge-Dr-Lexington-NC-27292/53144507_zpid/,Public Sewer,-,-
"331 Bill Medlin Rd, Lexington, NC 27292","{'latitude': 35.780445, 'longitude': -80.268555}",https://www.zillow.com//homedetails/331-Bill-Medlin-Rd-Lexington-NC-27292/61461224_zpid/,Public Sewer,-,-
"259 Montclair Dr, Lexington, NC 27292","{'latitude': 35.79432, 'longitude': -80.27299}",https://www.zillow.com//homedetails/259-Montclair-Dr-Lexington-NC-27292/53144289_zpid/,Public Sewer,-,-
"380 Oakwood Rd, Lexington, NC 27292","{'latitude': 35.768116, 'longitude': -80.21684}",https://www.zillow.com//homedetails/380-Oakwood-Rd-Lexington-NC-27292/53147012_zpid/,Septic Tank,-,-
"0 Fairfax Rd, Lexington, NC 27292","{'latitude': 35.780567, 'longitude': -80.25015}",https://www.zillow.com//homedetails/0-Fairfax-Rd-Lexington-NC-27292/2082503604_zpid/,None,-,-
"1265 Fairview Dr, Lexington, NC 27292","{'latitude': 35.785366, 'longitude': -80.25978}",https://www.zillow.com//homedetails/1265-Fairview-Dr-Lexington-NC-27292/119608609_zpid/,-,-,-
"115 Cedar Lane Dr, Lexington, NC 27292","{'latitude': 35.777798, 'longitude': -80.26278}",https://www.zillow.com//homedetails/115-Cedar-Lane-Dr-Lexington-NC-27292/245637708_zpid/,Septic Tank,-,-
"1295 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.777332, 'longitude': -80.22077}",https://www.zillow.com//homedetails/1295-Becks-Church-Rd-Lexington-NC-27292/5734803_zpid/,Septic Tank,-,-
"Ramona St, Lexington, NC 27292","{'latitude': 35.764, 'longitude': -80.2651}",https://www.zillow.com//homedetails/Ramona-St-Lexington-NC-27292/53137670_zpid/,-,-,-
"156 Paul St, Lexington, NC 27292","{'latitude': 35.76431, 'longitude': -80.26795}",https://www.zillow.com//homedetails/156-Paul-St-Lexington-NC-27292/5713275_zpid/,Septic Tank,-,-
"134 Cullen Ct, Lexington, NC 27292","{'latitude': 35.783936, 'longitude': -80.27843}",https://www.zillow.com//homedetails/134-Cullen-Ct-Lexington-NC-27292/53144502_zpid/,Public Sewer,-,-
"700 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.79327, 'longitude': -80.27797}",https://www.zillow.com//homedetails/700-Old-Linwood-Rd-Lexington-NC-27292/245667673_zpid/,-,-,-
"1 Edna St, Lexington, NC 27292","{'latitude': 35.794556, 'longitude': -80.26521}",https://www.zillow.com//homedetails/1-Edna-St-Lexington-NC-27292/53144270_zpid/,-,-,-
"511 Queens Dr, Lexington, NC 27292","{'latitude': 35.794075, 'longitude': -80.2272}",https://www.zillow.com//homedetails/511-Queens-Dr-Lexington-NC-27292/5711626_zpid/,-,-,-
"65AC Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.780922, 'longitude': -80.278656}",https://www.zillow.com//homedetails/65AC-Old-Linwood-Rd-Lexington-NC-27292/2054265275_zpid/,Public Sewer,-,-
"1305 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.783382, 'longitude': -80.27448}",https://www.zillow.com//homedetails/1305-Old-Linwood-Rd-Lexington-NC-27292/245667599_zpid/,Septic Tank,-,-
"1305 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.783085, 'longitude': -80.27406}",https://www.zillow.com//homedetails/1305-Old-Linwood-Rd-Lexington-NC-27292/306258961_zpid/,-,-,-
"Twin Acres Dr, Lexington, NC 27292","{'latitude': 35.79379, 'longitude': -80.24318}",https://www.zillow.com//homedetails/Twin-Acres-Dr-Lexington-NC-27292/53144159_zpid/,-,-,-
"1192 Brown St, Lexington, NC 27292","{'latitude': 35.787605, 'longitude': -80.278786}",https://www.zillow.com//homedetails/1192-Brown-St-Lexington-NC-27292/5729312_zpid/,Septic Tank,-,-
"Albert Dr, Lexington, NC 27292","{'latitude': 35.763435, 'longitude': -80.26988}",https://www.zillow.com//homedetails/Albert-Dr-Lexington-NC-27292/53137658_zpid/,-,-,-
"Becks Church Rd, Lexington, NC 27292","{'latitude': 35.778732, 'longitude': -80.22067}",https://www.zillow.com//homedetails/Becks-Church-Rd-Lexington-NC-27292/5734794_zpid/,-,-,-
"2108 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.7659, 'longitude': -80.22181}",https://www.zillow.com//homedetails/2108-Becks-Church-Rd-Lexington-NC-27292/5734838_zpid/,Septic Tank,-,-
"Cedar Lane Dr, Lexington, NC 27292","{'latitude': 35.77806, 'longitude': -80.26283}",https://www.zillow.com//homedetails/Cedar-Lane-Dr-Lexington-NC-27292/53137543_zpid/,-,-,-
"1901 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.773315, 'longitude': -80.26013}",https://www.zillow.com//homedetails/1901-Cotton-Grove-Rd-Lexington-NC-27292/197536140_zpid/,-,-,-
"114 Glendale Rd, Lexington, NC 27292","{'latitude': 35.773727, 'longitude': -80.256065}",https://www.zillow.com//homedetails/114-Glendale-Rd-Lexington-NC-27292/5712921_zpid/,Public Sewer,-,-
"254 Peace Haven Dr, Lexington, NC 27292","{'latitude': 35.784542, 'longitude': -80.27723}",https://www.zillow.com//homedetails/254-Peace-Haven-Dr-Lexington-NC-27292/53144496_zpid/,Public Sewer,-,-
"1200 Fairview Dr, Lexington, NC 27292","{'latitude': 35.79464, 'longitude': -80.254456}",https://www.zillow.com//homedetails/1200-Fairview-Dr-Lexington-NC-27292/53144093_zpid/,Public Sewer,-,-
"225 Garden Dr, Lexington, NC 27292","{'latitude': 35.795177, 'longitude': -80.27567}",https://www.zillow.com//homedetails/225-Garden-Dr-Lexington-NC-27292/5728638_zpid/,-,-,-
"1206 Fairview Dr, Lexington, NC 27292","{'latitude': 35.793736, 'longitude': -80.25461}",https://www.zillow.com//homedetails/1206-Fairview-Dr-Lexington-NC-27292/5728416_zpid/,Public Sewer,-,-
"260 Burkhart Rd, Lexington, NC 27292","{'latitude': 35.771275, 'longitude': -80.220116}",https://www.zillow.com//homedetails/260-Burkhart-Rd-Lexington-NC-27292/5734814_zpid/,Septic Tank,-,-
"451 Garden Dr, Lexington, NC 27292","{'latitude': 35.795013, 'longitude': -80.280106}",https://www.zillow.com//homedetails/451-Garden-Dr-Lexington-NC-27292/53144179_zpid/,-,-,-
"1657 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.7728, 'longitude': -80.22121}",https://www.zillow.com//homedetails/1657-Becks-Church-Rd-Lexington-NC-27292/5734797_zpid/,Septic Tank,-,-
"709 Brown St, Lexington, NC 27292","{'latitude': 35.784122, 'longitude': -80.2712}",https://www.zillow.com//homedetails/709-Brown-St-Lexington-NC-27292/5729471_zpid/,-,-,-
"110 Acacia Cres, Lexington, NC 27292","{'latitude': 35.791397, 'longitude': -80.2376}",https://www.zillow.com//homedetails/110-Acacia-Cres-Lexington-NC-27292/53144162_zpid/,-,-,-
"210 Arbor Dr, Lexington, NC 27292","{'latitude': 35.79399, 'longitude': -80.226265}",https://www.zillow.com//homedetails/210-Arbor-Dr-Lexington-NC-27292/5711677_zpid/,-,-,-
"Taylors Park Rd, Lexington, NC 27292","{'latitude': 35.767178, 'longitude': -80.26716}",https://www.zillow.com//homedetails/Taylors-Park-Rd-Lexington-NC-27292/5713246_zpid/,-,-,-
"293 Fisher St, Lexington, NC 27292","{'latitude': 35.763268, 'longitude': -80.242744}",https://www.zillow.com//homedetails/293-Fisher-St-Lexington-NC-27292/53137702_zpid/,-,-,-
"102 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79411, 'longitude': -80.25207}",https://www.zillow.com//homedetails/102-Highgate-Ln-Lexington-NC-27292/5728572_zpid/,-,-,-
"435 Brown St, Lexington, NC 27292","{'latitude': 35.783314, 'longitude': -80.26631}",https://www.zillow.com//homedetails/435-Brown-St-Lexington-NC-27292/5729391_zpid/,-,-,-
"115 Fairfax Rd, Lexington, NC 27292","{'latitude': 35.77806, 'longitude': -80.25558}",https://www.zillow.com//homedetails/115-Fairfax-Rd-Lexington-NC-27292/5712841_zpid/,-,-,-
"E State Highway 47, Lexington, NC 27292","{'latitude': 35.761703, 'longitude': -80.25752}",https://www.zillow.com//homedetails/E-State-Highway-47-Lexington-NC-27292/53137680_zpid/,-,-,-
"229 State Highway 47, Lexington, NC 27292","{'latitude': 35.761806, 'longitude': -80.25776}",https://www.zillow.com//homedetails/229-State-Highway-47-Lexington-NC-27292/53137681_zpid/,-,-,-
"Cardinal Dr, Lexington, NC 27292","{'latitude': 35.792423, 'longitude': -80.23048}",https://www.zillow.com//homedetails/Cardinal-Dr-Lexington-NC-27292/5734479_zpid/,-,-,-
"706 Cardinal Dr #82, Lexington, NC 27292","{'latitude': 35.790825, 'longitude': -80.229095}",https://www.zillow.com//homedetails/706-Cardinal-Dr-82-Lexington-NC-27292/2065684730_zpid/,-,-,-
"436 Frontier Dr, Lexington, NC 27292","{'latitude': 35.759132, 'longitude': -80.22709}",https://www.zillow.com//homedetails/436-Frontier-Dr-Lexington-NC-27292/5734896_zpid/,-,-,-
"145 Spring St, Lexington, NC 27292","{'latitude': 35.7642, 'longitude': -80.265945}",https://www.zillow.com//homedetails/145-Spring-St-Lexington-NC-27292/53137671_zpid/,-,-,-
"110 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79346, 'longitude': -80.25134}",https://www.zillow.com//homedetails/110-Highgate-Ln-Lexington-NC-27292/5728568_zpid/,-,-,-
"193 Gurney Kearns Rd, Lexington, NC 27292","{'latitude': 35.786266, 'longitude': -80.271355}",https://www.zillow.com//homedetails/193-Gurney-Kearns-Rd-Lexington-NC-27292/5729295_zpid/,-,-,-
"632 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.786903, 'longitude': -80.22267}",https://www.zillow.com//homedetails/632-Becks-Church-Rd-Lexington-NC-27292/53146877_zpid/,-,-,-
"Tan Oak Dr, Lexington, NC 27292","{'latitude': 35.788708, 'longitude': -80.23965}",https://www.zillow.com//homedetails/Tan-Oak-Dr-Lexington-NC-27292/53144165_zpid/,-,-,-
"0 Tan Oak Dr, Lexington, NC 27292","{'latitude': 35.78981, 'longitude': -80.24176}",https://www.zillow.com//homedetails/0-Tan-Oak-Dr-Lexington-NC-27292/2075663439_zpid/,-,-,-
